rating_agency_name,issuer_name,legal_entity_identifier,rating,rating_action_date
Standard & Poor's Ratings Services,Cascades Inc.,FPD41G4F3GH7OJ38TS94,BB-,2021-07-05
Standard & Poor's Ratings Services,Nets Holdco 4 ApS,5493004DVX7E2HIJTK34,NR,2021-07-05
Standard & Poor's Ratings Services,CLISA-Compania Latinoamericana de Infraestructura & Servicios S.A.,5493003QU1KCTWKX5O74,raCCC-,2021-07-05
Standard & Poor's Ratings Services,Wheel Bidco Ltd,549300E5183CHEIBB049,B,2021-07-05
Standard & Poor's Ratings Services,Vivalto Sante Investissement SAS,969500LFM6S869DF2T62,B,2021-07-05
Standard & Poor's Ratings Services,Gaz Finance PLC,213800UNP9N6BPNYMQ45,BBB-,2021-07-05
Standard & Poor's Ratings Services,Nestle Holdings Inc.,549300EAEU8YV8MQXP30,AA-,2021-07-05
Standard & Poor's Ratings Services,Fresenius Finance Ireland Public Limited Company,549300GFSOR556BX2290,NR,2021-07-05
Standard & Poor's Ratings Services,Cascades USA Inc.,549300ZUGXWNX8ZO6380,BB-,2021-07-05
Standard & Poor's Ratings Services,Trimble Inc.,549300E2MI7NSZFQWS19,NR,2021-07-05
Standard & Poor's Ratings Services,Hongkong Land Finance (Cayman Islands) Co. Ltd.(The),254900OHTMO343QAXN81,A,2021-07-05
Standard & Poor's Ratings Services,Xiaomi Best Time International Limited,254900IGJCVEY8WNJT74,BBB-,2021-07-05
Standard & Poor's Ratings Services,China Modern Dairy Holdings Ltd.,549300TAELI2JXTKK009,BBB,2021-07-04
Standard & Poor's Ratings Services,STMicroelectronics N.V.,213800Z8NOHIKRI42W10,NR,2021-07-04
Standard & Poor's Ratings Services,"Zhejiang Expressway Co., Ltd.",213800X1ZRKM85U9H438,A,2021-07-04
Standard & Poor's Ratings Services,Grupo Aeroportuario del Pacifico S.A.B. de C.V.,4469000001BZ368XFI90,NR,2021-07-03
Standard & Poor's Ratings Services,Compass Minerals UK Limited,254900XZB3K5VYNAJX32,NR,2021-07-02
Standard & Poor's Ratings Services,Maryland Economic Development Corporation,549300JJ16DDBSZWSN94,NR,2021-07-02
Standard & Poor's Ratings Services,Affidea B.V.,549300CHLK7WULVZ1W61,B+,2021-07-02
Standard & Poor's Ratings Services,Unibail-Rodamco-Westfield SE,969500SHQITWXSIS7N89,NR,2021-07-02
Standard & Poor's Ratings Services,Compass Minerals International Inc.,2549008X9G8XP7YJGC47,NR,2021-07-02
